类别	子类
图片	尺寸
收藏	我喜欢的菜谱
下载	一键
搜索	筛选
视频	增加
举报	黑名单
举报	广告
登陆	
分享	
记录	菜谱
下载	收藏
购买清单	删除
问答	
注释	
菜单	
消息	提醒
分类	增加
专辑	增加
增加	[标签]
专辑	增加
图片	显示
视频	播放
闪退	
上传	
闪退	假死
登录	账号
登陆	qq
登录	第三方
发布	菜谱
注册	
签到	提醒
收藏	不见
连接	
IPAD	
视频	下载
丢失	
收藏	移动
小贴士	
图片	上传
卡	4G
卡	Wifi
卡	3G
打不开	
更新	提示
私信	表情
昵称	修改
更新	失败
卡	速度
做法	[菜谱名]
做法	[餐厅]
做法	[菜品]
